Roger W. Marshall,-0.25460292527692213
Christopher L. Jacobs,0
Patty Murray,0.12560275341097177
Dean Phillips,0
Thom Tillis,0
Robert B. Aderholt,0
Lori Trahan,0
Steve Cohen,0
Scott Franklin,0
Jennifer Mcclellan,0
Richard Burr,0.12060312913773023
Frank Pallone Jr.,0
Debbie Dingell,0
Michael John Gallagher,0
Joseph D. Morelle,0
Pat Roberts,0.0373029963094829
Bradley S. Schneider,-0.9993001069989299
Maria Cantwell,0
Joe Courtney,0
Michael Garcia,0
Paul Mitchell Iii,0
Morgan Mcgarvey,0
Kevin Hern,0
Deborah K. Ross,0
Abigail Spanberger,0
Rodney Leland Blum,0
Anthony E. Gonzalez,0
John Rutherford,-0.8140704123462744
Deb Fischer,0
Marcy Kaptur,0
Mo Brooks,0
Aston Donald Mceachin,0
Matt Gaetz,0
Cindy Axne,0
Katherine M. Clark,0
Susie Lee,0
David Kustoff,0
Keith J. Rothfus,0
David E. Price,0
Marjorie Taylor Greene,0
